battery,capacity,connectivity,display,fast_charge_point,features,front_camera,in_store,launch_date,oper_sys,perform,prod_brand,prod_name,prod_no_of_ratings,prod_price,prod_star,prod_url,product_availability,ram,rear_camera,refresh_rate
"6000 mah battery with hyper charging, charges upto 100% in 42 minutes",6000,dual sim: nano + nano with volte support,17.22,Yes,on-screen fingerprint sensor |face unlock|3.5 mm headphone jack present,12.0,256.0,,android v12 upgradable to v14,qualcomm snapdragon 8 plus gen 1 octa core processor,asus,asus rog phone 6,0,71999,0.0,https://pricebaba.com/mobile/asus-rog-phone-6,in stock,12.0,50.0,165
"5000 mah battery with super vooc charging, charges upto 50% in 18 minutes",5000,dual sim: nano + nano with volte support,17.07,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,32.0,256.0,,android v13,qualcomm snapdragon 695 octa core processor,oppo,oppo a98,0,25790,0.0,https://pricebaba.com/mobile/oppo-a98,in stock,8.0,64.0,120
6000 mah battery with fast charging,6000,dual sim: nano + nano (hybrid) with volte support,16.51,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,128.0,,android v13,samsung exynos 1280 octa core processor,samsung,samsung galaxy f34,0,16999,0.0,https://pricebaba.com/mobile/samsung-galaxy-f34,in stock,6.0,64.0,120
5000 mah battery with fast charging,5000,dual sim: nano + esim with volte support,15.49,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,128.0,,android v13,qualcomm snapdragon 695 octa core processor,sony,sony xperia 10 v,0,40490,0.0,https://pricebaba.com/mobile/sony-xperia-10-v,in stock,6.0,48.0,60
7000 mah battery with fast charging,7000,dual sim: nano + nano with volte support,17.32,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,50.0,256.0,,android v13,qualcomm snapdragon 8 gen 1 octa core processor,samsung,samsung galaxy m56,0,34990,0.0,https://pricebaba.com/mobile/samsung-galaxy-m56,in stock,8.0,64.0,60
"4860 mah battery with fast charging, charges upto 100% in 41 minutes",4860,dual sim: nano + nano with volte support,17.09,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,256.0,,android v12,qualcomm snapdragon 8 plus gen 1 octa core processor,xiaomi,xiaomi 12s ultra,0,70690,0.0,https://pricebaba.com/mobile/xiaomi-12s-ultra,in stock,8.0,50.0,120
6000 mah battery with fast charging,6000,dual sim: nano + nano with volte support,17.07,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,64.0,256.0,,android v13,qualcomm snapdragon 732g octa core processor,xiaomi,xiaomi redmi note 15 pro max,0,21990,0.0,https://pricebaba.com/mobile/xiaomi-redmi-note-15-pro-max,in stock,12.0,108.0,60
"5000 mah battery with fast charging, charges upto 56% in 15 minutes",5000,dual sim: nano + nano with volte support,17.22,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,50.0,256.0,,android v13,qualcomm snapdragon 8 plus gen 1 octa core processor,honor,honor 90 pro,0,38990,0.0,https://pricebaba.com/mobile/honor-90-pro,in stock,12.0,200.0,120
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,16.76,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,16.0,128.0,,android v12,qualcomm snapdragon 695 octa core processor,motorola,motorola g71s,0,19790,0.0,https://pricebaba.com/mobile/motorola-g71s,in stock,8.0,50.0,120
"4500 mah battery with super vooc charging, charges upto 100% in 44 minutes",4500,dual sim: nano + nano with volte support,17.02,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,256.0,,android v13,mediatek dimensity 8100 max mt6895z octa core processor,oppo,oppo reno9 pro,0,41140,0.0,https://pricebaba.com/mobile/oppo-reno9-pro,in stock,16.0,50.0,120
